iter	Passed	Remaining
897	5136	583
898	5141	577
899	5146	571
900	5152	566
901	5158	560
902	5163	554
903	5169	548
904	5175	543
905	5180	537
906	5186	531
907	5191	526
908	5197	520
909	5202	514
910	5208	508
911	5213	503
912	5218	497
913	5224	491
914	5230	485
915	5235	480
916	5241	474
917	5247	468
918	5252	462
919	5258	457
920	5264	451
921	5269	445
922	5275	440
923	5280	434
924	5286	428
925	5292	422
926	5297	417
927	5303	411
928	5309	405
929	5314	399
930	5319	394
931	5326	388
932	5331	382
933	5336	377
934	5342	371
935	5346	365
936	5352	359
937	5358	354
938	5363	348
939	5368	342
940	5374	336
941	5379	331
942	5384	325
943	5390	319
944	5395	314
945	5401	308
946	5406	302
947	5411	296
948	5417	291
949	5423	285
950	5428	279
951	5434	274
952	5440	268
953	5445	262
954	5451	256
955	5456	251
956	5461	245
957	5467	239
958	5472	233
959	5477	228
960	5483	222
961	5489	216
962	5494	211
963	5500	205
964	5505	199
965	5510	193
966	5516	188
967	5521	182
968	5526	176
969	5532	171
970	5538	165
971	5543	159
972	5549	154
973	5554	148
974	5560	142
975	5566	136
976	5571	131
977	5577	125
978	5582	119
979	5588	114
980	5593	108
981	5599	102
982	5604	96
983	5609	91
984	5615	85
985	5620	79
986	5625	74
987	5631	68
988	5637	62
989	5642	56
990	5648	51
991	5653	45
992	5659	39
993	5665	34
994	5670	28
995	5677	22
996	5683	17
997	5688	11
998	5694	5
999	5700	0
